"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0032943","mononuclear cell proliferation",285,0.476413332339631,1.48371809983882,0.000243439157839909,0.00616021151430764,0.00500093091772142,2245,"tags=32%, list=16%, signal=27%","15978/20555/22163/12367/12511/20304/12477/20556/171285/21942/27371/16153/12487/20737/19260/12721/66824/21940/16854/12798/67245/19171/16362/58206/15201/30925/15040/237256/14360/237877/19264/208650/16195/20230/56532/60533/12501/19354/18761/16414/22637/16019/330817/56501/93675/23917/20850/22042/15510/11534/14225/320795/20371/14991/224860/74131/56480/193385/21938/17319/17973/16176/54698/17874/15944/12524/68767/11920/16452/18950/20535/27218/21950/16859/94176/319817/170823/12445/74775/17698/16408/22034/12479/12144/16409/12028/16453/12151/11486/21423"
"GO:0030902","hindbrain development",135,-0.452963087503271,-1.66713446573875,0.000252585761341803,0.00636313147880264,0.00516566369059927,1022,"tags=16%, list=7%, signal=15%","18293/68146/17719/12162/22272/12846/14828/12387/13654/18032/16502/12043/68151/16001/625249/19883/216274/15205/20720/22142/19156/107503"
"GO:0002704","negative regulation of leukocyte mediated immunity",61,0.627376240531016,1.69262313455274,0.000260050621175462,0.00651124334258338,0.00528590261375022,1081,"tags=31%, list=8%, signal=29%","20723/69550/171285/21354/20737/16643/15040/93694/19264/21355/60533/11692/17131/18566/13051/243655/57765/20371/14991"
"GO:0003012","muscle system process",283,-0.359158916801181,-1.431633670943,0.000260772815067135,0.00651124334258338,0.00528590261375022,1344,"tags=20%, list=9%, signal=19%","18479/54598/21844/67378/68196/14083/15519/19219/11938/83814/16905/18441/19165/12156/11787/13043/16011/19878/12315/17260/11848/72043/67972/22340/50769/56484/19055/11554/19877/65256/12314/226594/14815/18438/17258/14062/11835/57080/20266/114249/14790/60596/100986/21926/56637/11674/16590/19735/18124/19225/15370/11472/12310/11928/16600/11931/12652"
"GO:0051784","negative regulation of nuclear division",65,0.615096062730293,1.68245567166971,0.00027109048878562,0.00673904682034032,0.00547083611034091,2109,"tags=49%, list=15%, signal=42%","11799/52276/229841/67629/76464/16319/75430/107995/268697/67141/67052/66442/18817/12236/20877/66591/66468/56150/19357/70799/12235/11920/70385/66977/19355/69716/30949/12237/235661/12649/52696/26951"
"GO:1903034","regulation of response to wounding",126,-0.446299455204936,-1.6175021371216,0.000276191249423275,0.00683573342322606,0.00554932741223497,1538,"tags=23%, list=11%, signal=21%","84035/12484/83431/76499/237847/22417/14083/18591/19219/11689/224794/19211/22340/20496/14062/27973/16952/21926/14824/18024/21672/16001/11747/15200/16600/20720/12527/11816/16171"
"GO:0033046","negative regulation of sister chromatid segregation",51,0.65856028514592,1.72453607466086,0.000283691382003665,0.00687700577205613,0.00558283278211259,2109,"tags=59%, list=15%, signal=50%","11799/52276/229841/67629/76464/16319/75430/107995/268697/67141/67052/66442/18817/12236/20877/66591/66468/56150/19357/70799/12235/11920/70385/66977/69716/30949/12237/235661/52696/26951"
"GO:0033048","negative regulation of mitotic sister chromatid segregation",51,0.65856028514592,1.72453607466086,0.000283691382003665,0.00687700577205613,0.00558283278211259,2109,"tags=59%, list=15%, signal=50%","11799/52276/229841/67629/76464/16319/75430/107995/268697/67141/67052/66442/18817/12236/20877/66591/66468/56150/19357/70799/12235/11920/70385/66977/69716/30949/12237/235661/52696/26951"
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition",51,0.65856028514592,1.72453607466086,0.000283691382003665,0.00687700577205613,0.00558283278211259,2109,"tags=59%, list=15%, signal=50%","11799/52276/229841/67629/76464/16319/75430/107995/268697/67141/67052/66442/18817/12236/20877/66591/66468/56150/19357/70799/12235/11920/70385/66977/69716/30949/12237/235661/52696/26951"
"GO:2000816","negative regulation of mitotic sister chromatid separation",51,0.65856028514592,1.72453607466086,0.000283691382003665,0.00687700577205613,0.00558283278211259,2109,"tags=59%, list=15%, signal=50%","11799/52276/229841/67629/76464/16319/75430/107995/268697/67141/67052/66442/18817/12236/20877/66591/66468/56150/19357/70799/12235/11920/70385/66977/69716/30949/12237/235661/52696/26951"
