"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","tissue"
"Ltb4r1",0.00696550481601018,-0.902196485994618,0.667,1,1,"Ltb4r1","OM"
"mt-Atp8",0.00717529112239543,0.781383450551233,1,1,1,"mt-Atp8","OM"
"Msi2",0.00718624441251529,-0.763307386100181,1,1,1,"Msi2","OM"
"Bcas2",0.00723116742380621,-0.719659599598872,1,1,1,"Bcas2","OM"
"Ccl3",0.00725146301299396,0.916180597658861,1,0.333,1,"Ccl3","OM"
"Rnf10",0.00732905707214834,0.91669124581751,1,1,1,"Rnf10","OM"
"Vps37b",0.00750311302558417,-0.337417526046406,1,1,1,"Vps37b","OM"
"Atp6v0c",0.00761893558708998,-0.500244229632064,1,1,1,"Atp6v0c","OM"
"Alcam",0.00771344645480395,0.699100620471995,1,0,1,"Alcam","OM"
"Atp6v1g1",0.00773721019115261,-0.57176142806345,1,1,1,"Atp6v1g1","OM"
"Ly6e",0.00813399061718471,-0.335040760171119,1,1,1,"Ly6e","OM"
"Fgl2",0.00831314055543166,-0.691027650138343,1,1,1,"Fgl2","OM"
"Htatip2",0.00865813255727363,0.908885543949991,1,1,1,"Htatip2","OM"
"Psmc1",0.00878069147792407,0.892488315658936,1,1,1,"Psmc1","OM"
"Dnaja1",0.00900720383459034,-0.391370852857739,1,1,1,"Dnaja1","OM"
"Rgs3",0.0103888376686579,0.636214598440107,1,0,1,"Rgs3","OM"
"Rps6ka1",0.0104048240740658,0.886788399930634,1,1,1,"Rps6ka1","OM"
"Lag3",0.0106555432130586,0.895110467308929,1,0.333,1,"Lag3","OM"
"Cfl2",0.0108732033775528,0.725243671926056,1,0.333,1,"Cfl2","OM"
"Gnb1",0.0109092565127661,-0.686616821105849,1,1,1,"Gnb1","OM"
"Tmem201",0.0110645962460313,0.641677500638527,1,0,1,"Tmem201","OM"
"Zcrb1",0.0110889479641646,0.744444639057418,1,1,1,"Zcrb1","OM"
"Cd4",0.0111646040418487,0.944643026484354,1,1,1,"Cd4","OM"
"Mlx",0.0112250869736326,0.858572765760307,1,1,1,"Mlx","OM"
"Traf4",0.0112344283726179,0.827194892807491,1,1,1,"Traf4","OM"
"Ikzf3",0.0112685833034245,-0.731796272613993,1,1,1,"Ikzf3","OM"
"Fau",0.0114762134611697,-0.216139942958953,1,1,1,"Fau","OM"
"Sec61g",0.0115076961919761,-0.522824829738054,1,1,1,"Sec61g","OM"
"Gimap9",0.0115815565666875,0.814015784711511,1,1,1,"Gimap9","OM"
"Rdx",0.0117820435507486,0.754978830966729,1,1,1,"Rdx","OM"
"Lck",0.0121762731775262,0.638142133513862,1,1,1,"Lck","OM"
"E4f1",0.012235196483193,-0.791003334803364,1,1,1,"E4f1","OM"
"Pgrmc1",0.0122557353396879,-0.830019513032157,0.667,1,1,"Pgrmc1","OM"
"Med13l",0.0125711494833851,-0.833344982414287,1,1,1,"Med13l","OM"
"Appbp2",0.0126416874067464,0.893495625760911,1,1,1,"Appbp2","OM"
"Alkbh5",0.013031785357564,-0.804167999112007,1,1,1,"Alkbh5","OM"
"Actn2",0.0132402391492078,-0.783158397529858,1,1,1,"Actn2","OM"
"Stat1",0.0134776222106286,0.767541202287466,1,1,1,"Stat1","OM"
"Chic2",0.0136108174560257,-0.657556416676936,1,1,1,"Chic2","OM"
"Myo6",0.013729110409262,-0.564327641443703,0,1,1,"Myo6","OM"
"Tcrg-C1",0.0139861360883309,-0.660849534454644,1,1,1,"Tcrg-C1","OM"
"Eif4a2",0.0140596595739543,-0.583780384546502,1,1,1,"Eif4a2","OM"
"Phf12",0.0142958917537023,0.823571496071446,1,1,1,"Phf12","OM"
"Ankle2",0.014487475411277,0.875259757283203,1,0.667,1,"Ankle2","OM"
"Prc1",0.0145925697526802,0.807960019268738,1,0.667,1,"Prc1","OM"
"Rplp1",0.0147259854046975,-0.236829583224304,1,1,1,"Rplp1","OM"
"mt-Nd6",0.0147880834884803,0.847619652064742,1,1,1,"mt-Nd6","OM"
"Ubash3a",0.0151841605943609,0.803017582518926,1,1,1,"Ubash3a","OM"
"Gimap4",0.0155019181724341,0.571044484838893,1,1,1,"Gimap4","OM"
"App",0.0157226905250481,-0.731840117374745,1,1,1,"App","OM"
"Pus1",0.0157823225759709,-0.628558788086677,0.333,1,1,"Pus1","OM"
"Cxcl2",0.0158818050406837,-1.46330297411465,0.667,1,1,"Cxcl2","OM"
"Rpl32",0.015954613927616,-0.211595184776499,1,1,1,"Rpl32","OM"
"Apc",0.0161316688883432,-0.762865586936918,1,1,1,"Apc","OM"
"Selenof",0.0164369397608739,-0.513861112228069,1,1,1,"Selenof","OM"
"Smim27",0.0168267468662764,-0.756040161760723,1,1,1,"Smim27","OM"
"Cdk11b",0.0173784245090571,-0.532831113871005,1,1,1,"Cdk11b","OM"
"Slc7a6os",0.0175329688735903,-0.761108475881835,1,1,1,"Slc7a6os","OM"
"S100a11",0.0177258791279737,-0.32144710239549,1,1,1,"S100a11","OM"
"Son",0.0178704169263849,-0.319848016387771,1,1,1,"Son","OM"
"Eif1",0.0179140773173499,-0.203740744423231,1,1,1,"Eif1","OM"
"Capn10",0.0180179543042348,-0.561583569522212,0,1,1,"Capn10","OM"
