"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hsp90aa19",3.24941253460266e-35,0.914834241955932,1,0.892,8.16544875820303e-31,"29","Hsp90aa1"
"Cyth25",3.29157992552651e-35,1.94155562853059,0.773,0.248,8.27141119485557e-31,"29","Cyth2"
"Hist1h1a2",3.29210407453008e-35,4.37701789580953,0.445,0.017,8.27272832888664e-31,"29","Hist1h1a"
"Syncrip3",7.23814593530444e-35,1.39217802775243,0.873,0.395,1.81887369208265e-30,"29","Syncrip"
"Hnrnpk3",7.72194037507276e-35,1.08213137757596,0.992,0.828,1.94044639685203e-30,"29","Hnrnpk"
"Sapcd2",8.04120759659037e-35,6.2279709589696,0.392,0.005,2.02067505694719e-30,"29","Sapcd2"
"Myef26",8.04579722307453e-35,2.05783760255369,0.765,0.227,2.0218283841864e-30,"29","Myef2"
"Msi16",8.69800220805679e-35,2.20726013602964,0.623,0.144,2.18572097486259e-30,"29","Msi1"
"Smchd17",1.63876359993449e-34,1.65183841813818,0.847,0.34,4.11804905027539e-30,"29","Smchd1"
"Pcm18",2.40144955789021e-34,1.45113071973166,0.894,0.426,6.0346025940223e-30,"29","Pcm1"
"Cdk2ap12",2.48690146445574e-34,2.54449464007379,0.627,0.12,6.24933469003083e-30,"29","Cdk2ap1"
"U2af17",2.63854700844323e-34,1.43340876925064,0.826,0.375,6.63040477751699e-30,"29","U2af1"
"Vangl21",2.69296868449224e-34,3.36023414543707,0.46,0.041,6.76716100726055e-30,"29","Vangl2"
"Serf13",2.81031259094263e-34,2.18544548132508,0.648,0.153,7.06203450977974e-30,"29","Serf1"
"Kif18a1",4.87312820109142e-34,4.58575389730216,0.449,0.019,1.22456838565226e-29,"29","Kif18a"
"Cenpp1",4.99038077370524e-34,5.17249406438155,0.441,0.013,1.25403278462439e-29,"29","Cenpp"
"Eif4g25",5.29123491141817e-34,0.850810267187071,0.992,0.88,1.32963442089027e-29,"29","Eif4g2"
"Npm37",6.68576318015534e-34,2.38360947073138,0.667,0.147,1.68006542954124e-29,"29","Npm3"
"Bzw27",6.78756724497597e-34,1.83592197637232,0.744,0.229,1.70564777299001e-29,"29","Bzw2"
"Tmsb108",6.81357858792634e-34,1.06950413393565,0.996,0.636,1.71218416336001e-29,"29","Tmsb10"
"Mtch15",7.41322444021333e-34,1.37275710223546,0.888,0.433,1.86286916958121e-29,"29","Mtch1"
"Fam110a1",1.01247422955327e-33,3.38543912871934,0.532,0.05,2.54424649144441e-29,"29","Fam110a"
"Gad2",1.10796113116491e-33,6.15151983889637,0.415,0.005,2.78419552650431e-29,"29","Gad2"
"Pbx112",1.30706859976978e-33,1.41772808330162,0.79,0.322,3.28453268436147e-29,"29","Pbx1"
"Zfp5036",1.51914813385862e-33,2.55039720604643,0.568,0.101,3.81746734557332e-29,"29","Zfp503"
"Thoc77",3.96196750471229e-33,1.72053292321051,0.852,0.339,9.95602814259152e-29,"29","Thoc7"
"D930020B18Rik1",3.97569953792808e-33,3.05404455058087,0.496,0.067,9.99053536885947e-29,"29","D930020B18Rik"
"Ska2",4.0941138883635e-33,3.48551070952686,0.472,0.051,1.02880987900686e-28,"29","Ska2"
"Hnrnpu7",4.43601456552262e-33,1.00239757310161,0.989,0.85,1.11472610017018e-28,"29","Hnrnpu"
"Smarcad15",5.42443165330546e-33,1.70815193508361,0.629,0.19,1.36310543015913e-28,"29","Smarcad1"
"Kif19a2",5.55686946726182e-33,3.77047446238256,0.477,0.037,1.39638572842822e-28,"29","Kif19a"
"Ssrp14",6.6561783621216e-33,1.64735081626857,0.742,0.28,1.67263106061754e-28,"29","Ssrp1"
"Srrt4",7.02073083473172e-33,1.71221054037701,0.684,0.222,1.76423945145973e-28,"29","Srrt"
"Igf1r8",7.74227507677311e-33,1.46117835697879,0.843,0.378,1.94555630404231e-28,"29","Igf1r"
"Mrpl184",8.31829229588444e-33,1.55917990271876,0.79,0.328,2.0903036710328e-28,"29","Mrpl18"
"Col16a12",1.09798374195482e-32,4.46345489478088,0.464,0.027,2.75912334515828e-28,"29","Col16a1"
"Emg15",1.19183447284315e-32,1.5772420226646,0.801,0.301,2.99496084680754e-28,"29","Emg1"
"Snrpb25",1.56715258595634e-32,1.74579443455408,0.735,0.23,3.93809773324968e-28,"29","Snrpb2"
"Eya14",1.71266098493197e-32,2.25735934777453,0.542,0.094,4.30374578903555e-28,"29","Eya1"
"Tomm341",1.78127588213428e-32,2.53359081338861,0.638,0.116,4.47616816421523e-28,"29","Tomm34"
"Ube2e34",2.1251262450926e-32,1.83204649492537,0.809,0.272,5.3402297412932e-28,"29","Ube2e3"
"Cip2a1",2.2969658650528e-32,5.03176576649953,0.439,0.014,5.77204552229118e-28,"29","Cip2a"
"Zfp6647",2.30263445947749e-32,1.54201658232182,0.78,0.294,5.78629013322097e-28,"29","Zfp664"
"Topbp12",2.31599313675499e-32,2.46259801077888,0.547,0.102,5.81985915335161e-28,"29","Topbp1"
"Myh104",2.78091546593869e-32,2.35314192692746,0.585,0.123,6.98816247435733e-28,"29","Myh10"
"Cct27",2.9461946061157e-32,1.17401606214997,0.943,0.525,7.40349242570814e-28,"29","Cct2"
"Miat",2.98393249761504e-32,7.14125069808213,0.422,0.003,7.49832397325684e-28,"29","Miat"
"Cntrob",3.51979821998953e-32,3.6276586458682,0.485,0.041,8.84490094701168e-28,"29","Cntrob"
"2700081O15Rik",3.64424669265721e-32,3.28963435982819,0.447,0.041,9.15762751397831e-28,"29","2700081O15Rik"
"Ccdc1712",3.94294042049867e-32,3.05352744175456,0.479,0.063,9.90821498267111e-28,"29","Ccdc171"
"Hist1h4h2",4.34225636990289e-32,3.19741811791897,0.536,0.088,1.0911656031929e-27,"29","Hist1h4h"
"Fam8a1",5.98751140236497e-32,3.17266685691602,0.519,0.059,1.50460174030029e-27,"29","Fam8a1"
"Ppp1r14a1",7.61615342215631e-32,3.38686026005806,0.479,0.025,1.91386319345366e-27,"29","Ppp1r14a"
"Srsf27",8.89887558177946e-32,1.21774150974016,0.941,0.511,2.23619844494536e-27,"29","Srsf2"
"Dnmt14",8.93402348294989e-32,2.54310525871207,0.642,0.155,2.24503076103048e-27,"29","Dnmt1"
"Sertad23",1.12503190052583e-31,1.73286208450063,0.68,0.221,2.82709266283137e-27,"29","Sertad2"
"Tox",1.21328067609892e-31,4.15603204493289,0.451,0.021,3.04885301096898e-27,"29","Tox"
"Anln2",1.32653612412766e-31,4.11012182017574,0.415,0.021,3.3334526263204e-27,"29","Anln"
"Cenpq2",1.39718781160963e-31,2.85946070503371,0.581,0.08,3.51099325179384e-27,"29","Cenpq"
"Spdl11",1.5542471543932e-31,5.08025105021673,0.432,0.013,3.90566767427467e-27,"29","Spdl1"
"Actl6a6",1.60351674320909e-31,1.93511793059518,0.701,0.209,4.02947722401011e-27,"29","Actl6a"
"Rad511",1.86727807673676e-31,5.12051946013335,0.409,0.012,4.69228307903182e-27,"29","Rad51"
"Bub34",2.13211842934578e-31,2.04978804190133,0.748,0.236,5.357800401103e-27,"29","Bub3"
"Ccdc88a9",2.72767705566362e-31,1.44763457511256,0.862,0.357,6.8543796731771e-27,"29","Ccdc88a"
"Hist1h2af2",2.75727703037308e-31,5.52242002433483,0.405,0.009,6.92876144962451e-27,"29","Hist1h2af"
"Cenpv6",3.06662189194511e-31,1.94294695366835,0.697,0.21,7.70611415226886e-27,"29","Cenpv"
"Prr36",3.1774123814834e-31,5.89174092121308,0.379,0.007,7.98451957342963e-27,"29","Prr36"
"Clspn2",3.2645804376474e-31,4.13107204818675,0.407,0.024,8.20356418176416e-27,"29","Clspn"
"Klhdc25",3.75096848889775e-31,1.53970807686111,0.682,0.229,9.42580871575114e-27,"29","Klhdc2"
"Cct6a5",4.05115509021095e-31,1.2658567758245,0.907,0.47,1.01801476261911e-26,"29","Cct6a"
"Maml31",4.11376499430968e-31,2.69645939981958,0.576,0.094,1.03374800542008e-26,"29","Maml3"
"Snrpc4",4.7597420052691e-31,1.47833357689925,0.769,0.313,1.19607556850407e-26,"29","Snrpc"
"Rhobtb31",4.79763461552714e-31,3.17969695242456,0.542,0.052,1.20559760253581e-26,"29","Rhobtb3"
