"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","tissue"
"Nkg7",9.04366288119683e-30,2.35751790010569,1,1,2.27258204541595e-25,"Nkg7","RM"
"Rtn1",1.01690392386702e-29,-1.73716141763493,1,1,2.55537787028544e-25,"Rtn1","RM"
"Atp5e",1.97083258596235e-29,-0.480870564833523,1,1,4.95250520526479e-25,"Atp5e","RM"
"Sec62",2.88962100772812e-29,-0.996007851058703,1,1,7.26132863031998e-25,"Sec62","RM"
"Selenof",4.13896137863373e-29,-0.869975920054331,1,1,1.04007960483687e-24,"Selenof","RM"
"Serpine2",4.93172764618783e-29,-1.64139307205635,1,1,1.23929384021054e-24,"Serpine2","RM"
"Rplp2",7.74107620629067e-29,-0.475588465600113,1,1,1.94525503987878e-24,"Rplp2","RM"
"Tob2",9.19734727610596e-29,-1.09108079445434,1,1,2.31120139701267e-24,"Tob2","RM"
"Lgals1",9.24035800075315e-29,1.57805121154695,1,1,2.32200956200926e-24,"Lgals1","RM"
"Ms4a6b",1.35086097495437e-28,2.22862210634897,1,1,3.39457854396283e-24,"Ms4a6b","RM"
"Ubc",1.4629949655763e-28,-0.772220011736309,1,1,3.67636004899669e-24,"Ubc","RM"
"Oaz1",1.61098375228948e-28,-0.501359620895879,1,1,4.04824107112824e-24,"Oaz1","RM"
"Atp6v1g1",1.78782271753416e-28,-1.0083802249353,1,1,4.4926197068916e-24,"Atp6v1g1","RM"
"Cox7c",2.77010487284017e-28,-0.637059510863601,1,1,6.96099653496005e-24,"Cox7c","RM"
"Rpl37a",2.88037771200305e-28,-0.681027328849402,1,1,7.23810115249246e-24,"Rpl37a","RM"
"Atpif1",3.25966873599458e-28,-1.01040995419336,1,1,8.19122156668079e-24,"Atpif1","RM"
"Morf4l1",3.46475485686448e-28,-0.671516412408103,1,1,8.70658247981475e-24,"Morf4l1","RM"
"Xist",3.80634672669151e-28,-0.893685923945294,1,1,9.56496868950311e-24,"Xist","RM"
"Map1lc3a",4.51518005925275e-28,-1.33616382232036,1,1,1.13461959708962e-23,"Map1lc3a","RM"
"Rps15",5.17877348010554e-28,-0.397282803766152,1,1,1.30137398781572e-23,"Rps15","RM"
"Jund",5.9193929962238e-28,-0.914163027977688,1,1,1.48748426602108e-23,"Jund","RM"
