"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","tissue"
"Rab11fip2",0.0107787892103204,1.48287638199305,1,0.667,1,"Rab11fip2","LNG"
"AY036118",0.0110091662598073,1.38249524033076,1,1,1,"AY036118","LNG"
"H2-Ke6",0.0112601558379835,-1.25994564324221,0,1,1,"H2-Ke6","LNG"
"Ndufc2",0.0112857007426228,0.971997571948764,1,1,1,"Ndufc2","LNG"
"Gm6619",0.0113704076736913,0.917415592998826,1,1,1,"Gm6619","LNG"
"Ttc14",0.0114561354984652,-1.02422237375387,1,1,1,"Ttc14","LNG"
"Wdr48",0.0114589792334244,-1.32141106988413,0,1,1,"Wdr48","LNG"
"Jak2",0.0114614099114552,-1.28350937359965,0,1,1,"Jak2","LNG"
"Nap1l1",0.0115137394879564,0.961856089882665,1,1,1,"Nap1l1","LNG"
"4632427E13Rik",0.0115317685346488,-1.42958750782627,0.333,1,1,"4632427E13Rik","LNG"
"Fip1l1",0.0117233361373544,1.38906483988737,1,1,1,"Fip1l1","LNG"
"Rsf1",0.0119201277472897,-1.39866440766095,0.667,1,1,"Rsf1","LNG"
"Scnm1",0.011942952845301,-1.32603410585297,0,1,1,"Scnm1","LNG"
"Ptbp3",0.012145754551202,0.949425881264356,1,1,1,"Ptbp3","LNG"
"Zkscan3",0.0123938880080315,-1.23879436584783,0,1,1,"Zkscan3","LNG"
"Apoe",0.0124033372804147,1.22512839872544,1,1,1,"Apoe","LNG"
"St3gal4",0.0124070554423002,-1.22532928205658,0,1,1,"St3gal4","LNG"
"Cpsf7",0.0124070554423002,-1.22532928205658,0,1,1,"Cpsf7","LNG"
"Tcrg-C4",0.0126399223787757,-1.44109580277487,0.667,1,1,"Tcrg-C4","LNG"
"Ppp2r5a",0.0126451760027752,-1.2357934974463,1,1,1,"Ppp2r5a","LNG"
"Ptbp1",0.0129204146586404,-1.50350477209176,0.333,1,1,"Ptbp1","LNG"
"Trbc2",0.0130075946008069,-0.479027953712108,1,1,1,"Trbc2","LNG"
"Snhg8",0.0131644881708422,-0.905280451250811,1,1,1,"Snhg8","LNG"
"Hpcal1",0.0132806170435998,-1.36426181118486,0.667,1,1,"Hpcal1","LNG"
"Vkorc1",0.0134265805258487,-1.25609705666709,0,1,1,"Vkorc1","LNG"
"Dync1i2",0.0135203979965749,1.15460246870158,1,1,1,"Dync1i2","LNG"
"Itgb1",0.0135304361748631,1.02015917838358,1,1,1,"Itgb1","LNG"
"Zfp120",0.0138646948484025,-1.20458128095627,0,1,1,"Zfp120","LNG"
"Adrb2",0.0138646948484025,-1.20458128095627,0,1,1,"Adrb2","LNG"
"Napa",0.014100942499318,-1.25124400378086,0,1,1,"Napa","LNG"
"Mrpl52",0.0141401981047821,-0.848018374071939,1,1,1,"Mrpl52","LNG"
"Rpl5",0.0142262733129377,-0.277247874489193,1,1,1,"Rpl5","LNG"
"Arhgap25",0.0144387974510599,-1.5173070177548,0.333,1,1,"Arhgap25","LNG"
"Pycr2",0.0145559762734017,-1.19264900691764,0,1,1,"Pycr2","LNG"
"Ahcyl2",0.0147343176642564,-1.35877413861443,0.667,1,1,"Ahcyl2","LNG"
"Sfswap",0.0147420554971735,-1.18571333429134,0,1,1,"Sfswap","LNG"
"Selenos",0.0148421427920056,0.950823772734787,1,1,1,"Selenos","LNG"
"Eid1",0.0150795536901108,1.06118542432491,1,1,1,"Eid1","LNG"
"Calr",0.0155708036610391,0.749599120738369,1,1,1,"Calr","LNG"
"Phf2",0.0156012878804503,-1.20550149279001,0,1,1,"Phf2","LNG"
"Ndufb9",0.0156732671896679,0.764709387568995,1,1,1,"Ndufb9","LNG"
"Mgst3",0.0164223096081613,1.47609559039526,1,0.667,1,"Mgst3","LNG"
"Atp5o",0.0164229411045554,0.829842602621033,1,1,1,"Atp5o","LNG"
"Wdr33",0.0164330607180949,-1.29240748525317,0.667,1,1,"Wdr33","LNG"
"Tmc6",0.0166506609558372,-1.1765507804514,0,1,1,"Tmc6","LNG"
"Adipor1",0.0167511073210787,1.40561650995415,1,0.667,1,"Adipor1","LNG"
"Rpl22l1",0.0172822247229211,-0.408193349196895,1,1,1,"Rpl22l1","LNG"
"Ptpn2",0.0173156536365848,-1.3739176728362,0.333,1,1,"Ptpn2","LNG"
"Arl6ip5",0.0176315400695611,1.20012780653816,1,1,1,"Arl6ip5","LNG"
"Mif",0.0176511114316935,0.855202268176014,1,1,1,"Mif","LNG"
"Ccdc184",0.0177164531582324,-1.18954683551083,0,1,1,"Ccdc184","LNG"
"Cish",0.0177393215996611,-1.29749059676837,0.667,1,1,"Cish","LNG"
